"LOCATION","Country","TL","Territory level","GEO","Geography","VAR","Variable","TIME","Time","Value","Flag Codes","Flags"
"GBR","United Kingdom","FUA","Functional Urban Area","UK528F","Northampton","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",52,,
"CAN","Canada","FUA","Functional Urban Area","CAN07F","Quebec","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",50.4,,
"GRC","Greece","FUA","Functional Urban Area","EL014F","Chania","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",130,,
"ESP","Spain","FUA","Functional Urban Area","ES041F","Guadalajara","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",28.8,,
"DEU","Germany","FUA","Functional Urban Area","DE017F","Halle an der Saale","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",48.8,,
"JPN","Japan","FUA","Functional Urban Area","JPN04F","Fukuoka","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",48,,
"USA","United States","FUA","Functional Urban Area","USA121F","Lane","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",54.8,,
"ITA","Italy","FUA","Functional Urban Area","IT056F","Battipaglia","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",34.1,,
"CHL","Chile","FUA","Functional Urban Area","CL014F","Rancagua","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",14.3,,
"CHL","Chile","FUA","Functional Urban Area","CL021F","Los Angeles","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",24,,
"CAN","Canada","FUA","Functional Urban Area","CAN18F","Trois Rivieres","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",220,,
"IRL","Ireland","FUA","Functional Urban Area","IE001F","Dublin","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",122,,
"FRA","France","FUA","Functional Urban Area","FR036F","Dunkerque","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",155,,
"ROU","Romania","FUA","Functional Urban Area","RO015F","Focşani","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",93,,
"FRA","France","FUA","Functional Urban Area","FR020F","Dijon","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",92,,
"CHL","Chile","FUA","Functional Urban Area","CL002F","Iquique","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",1,,
"FIN","Finland","FUA","Functional Urban Area","FI003F","Turku/Åbo","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",51.5,,
"USA","United States","FUA","Functional Urban Area","USA105F","Genesee","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",63.9,,
"JPN","Japan","FUA","Functional Urban Area","JPN44F","Asahikawa","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",64,,
"AUS","Australia","FUA","Functional Urban Area","AUS17F","Toowoomba","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",194,,
"USA","United States","FUA","Functional Urban Area","USA110F","Mobile","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",625,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK056F","Hastings","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",171,,
"ITA","Italy","FUA","Functional Urban Area","IT037F","Barletta","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",22,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK017F","Cambridge","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",137,,
"USA","United States","FUA","Functional Urban Area","USA161F","Brazos","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",47.9,,
"DEU","Germany","FUA","Functional Urban Area","DE124F","Wuppertal","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",66.9,,
"POL","Poland","FUA","Functional Urban Area","PL003F","Kraków","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",155,,
"ROU","Romania","FUA","Functional Urban Area","RO018F","Târgovişte","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",32.9,,
"NZL","New Zealand","FUA","Functional Urban Area","NZL01F","Auckland","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",151,,
"POL","Poland","FUA","Functional Urban Area","PL004F","Wrocław","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",52.7,,
"MEX","Mexico","FUA","Functional Urban Area","MEX57F","La Paz","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",24.3,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK009F","Cardiff","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",135,,
"USA","United States","FUA","Functional Urban Area","USA77F","Dauphin","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",59.4,,
"MEX","Mexico","FUA","Functional Urban Area","MEX20F","Hermosillo","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",46,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK545F","Peterborough","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",52.3,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK552F","Reading","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",145,,
"ESP","Spain","FUA","Functional Urban Area","ES032F","Torrevieja","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",31.6,,
"BGR","Bulgaria","FUA","Functional Urban Area","BG002F","Plovdiv","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",50,,
"USA","United States","FUA","Functional Urban Area","USA178F","Yuma","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",9.5,,
"CHE","Switzerland","FUA","Functional Urban Area","CH003F","Genève","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",89,,
"DEU","Germany","FUA","Functional Urban Area","DE013F","Hannover","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",53.2,,
"HUN","Hungary","FUA","Functional Urban Area","HU005F","Debrecen","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",171,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK560F","Oxford","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",156,,
"DEU","Germany","FUA","Functional Urban Area","DE083F","Münster","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",207,,
"USA","United States","FUA","Functional Urban Area","USA49F","Tampa-Hillsborough","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",414,,
"COL","Colombia","FUA","Functional Urban Area","COL45F","La Dorada","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",130,,
"ROU","Romania","FUA","Functional Urban Area","RO025F","Galaţi","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",34.1,,
"CHL","Chile","FUA","Functional Urban Area","CL020F","Concepcion","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",71,,
"DEU","Germany","FUA","Functional Urban Area","DE086F","Aachen","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",207,,
"ITA","Italy","FUA","Functional Urban Area","IT031F","Salerno","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",53.2,,
"USA","United States","FUA","Functional Urban Area","USA84F","Utah","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",41,,
"COL","Colombia","FUA","Functional Urban Area","COL19F","Palmira","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",32.1,,
"USA","United States","FUA","Functional Urban Area","USA119F","Tallahassee","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",338,,
"MEX","Mexico","FUA","Functional Urban Area","MEX13F","Mexicali","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",7,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK518F","Derby","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",149,,
"CHE","Switzerland","FUA","Functional Urban Area","CH012F","Zug","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",195,,
"FRA","France","FUA","Functional Urban Area","FR076F","Annemasse-Geneva (French part)","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",120,,
"ESP","Spain","FUA","Functional Urban Area","ES089F","Eivissa","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",31.4,,
"COL","Colombia","FUA","Functional Urban Area","COL12F","Pasto","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",37.8,,
"MEX","Mexico","FUA","Functional Urban Area","MEX32F","Pachuca de Soto","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",28,,
"FRA","France","FUA","Functional Urban Area","FR039F","Besançon","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",49.7,,
"COL","Colombia","FUA","Functional Urban Area","COL52F","El Carmen de Bolivar","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",114,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK047F","Chesterfield","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",48,,
"COL","Colombia","FUA","Functional Urban Area","COL39F","Duitama","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",35.6,,
"ITA","Italy","FUA","Functional Urban Area","IT007F","Firenze","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",40.1,,
"MEX","Mexico","FUA","Functional Urban Area","MEX92F","Chiautla","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",17,,
"POL","Poland","FUA","Functional Urban Area","PL012F","Kielce","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",48.7,,
"DEU","Germany","FUA","Functional Urban Area","DE016F","Bielefeld","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",265,,
"USA","United States","FUA","Functional Urban Area","USA146F","Atlantic City","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",61,,
"DEU","Germany","FUA","Functional Urban Area","DE036F","Kiel","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",62.7,,
"ITA","Italy","FUA","Functional Urban Area","IT038F","Pesaro","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",75,,
"FRA","France","FUA","Functional Urban Area","FR042F","Pau","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",47.4,,
"USA","United States","FUA","Functional Urban Area","USA165F","Lafayette (IN)","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",342,,
"JPN","Japan","FUA","Functional Urban Area","JPN12F","Yokkaichi","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",13.7,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK525F","Milton Keynes","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",198,,
"ROU","Romania","FUA","Functional Urban Area","RO025F","Galaţi","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",94,,
"MEX","Mexico","FUA","Functional Urban Area","MEX18F","Chihuahua","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",17.5,,
"FRA","France","FUA","Functional Urban Area","FR021F","Clermont-Ferrand","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",110,,
"CHL","Chile","FUA","Functional Urban Area","CL020F","Concepcion","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",32.7,,
"COL","Colombia","FUA","Functional Urban Area","COL19F","Palmira","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",59,,
"JPN","Japan","FUA","Functional Urban Area","JPN18F","Oita","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",88,,
"USA","United States","FUA","Functional Urban Area","USA127F","Madison","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",60.3,,
"NLD","Netherlands","FUA","Functional Urban Area","NL017F","'s-Gravenhage","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",45.9,,
"POL","Poland","FUA","Functional Urban Area","PL004F","Wrocław","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",163,,
"ITA","Italy","FUA","Functional Urban Area","IT017F","Ancona","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",40.4,,
"TUR","Türkiye","FUA","Functional Urban Area","TR004F","Balikesir","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",19.8,,
"POL","Poland","FUA","Functional Urban Area","PL042F","Chełm","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",187,,
"NLD","Netherlands","FUA","Functional Urban Area","NL033F","Nijmegen","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",45.4,,
"USA","United States","FUA","Functional Urban Area","USA111F","Berks","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",63.8,,
"USA","United States","FUA","Functional Urban Area","USA117F","Scott","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",564,,
"JPN","Japan","FUA","Functional Urban Area","JPN30F","Tokushima","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",20,,
"USA","United States","FUA","Functional Urban Area","USA54F","Albuquerque","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",16.6,,
"CHL","Chile","FUA","Functional Urban Area","CL009F","Quillota","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",71,,
"NLD","Netherlands","FUA","Functional Urban Area","NL042F","Utrecht","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",45.7,,
"ROU","Romania","FUA","Functional Urban Area","RO002F","Cluj-Napoca","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",40.4,,
"FRA","France","FUA","Functional Urban Area","FR008F","Nice","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",53.1,,
"CHL","Chile","FUA","Functional Urban Area","CL003F","Calama","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",18.7,,
"FRA","France","FUA","Functional Urban Area","FR014F","Cannes-Antibes","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",208,,
"USA","United States","FUA","Functional Urban Area","USA180F","Punta Gorda","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",1273,,
"AUT","Austria","FUA","Functional Urban Area","AT005F","Innsbruck","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",89,,
"POL","Poland","FUA","Functional Urban Area","PL007F","Szczecin","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",51.1,,
"ROU","Romania","FUA","Functional Urban Area","RO024F","Iaşi","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",100,,
"USA","United States","FUA","Functional Urban Area","USA116F","Allen","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",572,,
"JPN","Japan","FUA","Functional Urban Area","JPN29F","Nagano","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",12.4,,
"NZL","New Zealand","FUA","Functional Urban Area","NZL04F","Hamilton","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",41.8,,
"ESP","Spain","FUA","Functional Urban Area","ES079F","Algeciras","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",41.9,,
"DEU","Germany","FUA","Functional Urban Area","DE064F","Landshut","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",166,,
"CAN","Canada","FUA","Functional Urban Area","CAN01F","Toronto","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",129,,
"ITA","Italy","FUA","Functional Urban Area","IT006F","Genova","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",81,,
"BEL","Belgium","FUA","Functional Urban Area","BE004F","Charleroi","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",257,,
"USA","United States","FUA","Functional Urban Area","USA142F","Cumberland (ME)","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",54.9,,
"JPN","Japan","FUA","Functional Urban Area","JPN41F","Yamagata","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",15.2,,
"USA","United States","FUA","Functional Urban Area","USA126F","Lubbock","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",25.9,,
"COL","Colombia","FUA","Functional Urban Area","COL39F","Duitama","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",81,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK567F","Slough","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",35.8,,
"USA","United States","FUA","Functional Urban Area","USA76F","Polk","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",491,,
"USA","United States","FUA","Functional Urban Area","USA100F","Escambia","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",778,,
"BGR","Bulgaria","FUA","Functional Urban Area","BG003F","Varna","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",42.2,,
"USA","United States","FUA","Functional Urban Area","USA211F","Maverick","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",247,,
"USA","United States","FUA","Functional Urban Area","USA71F","El Paso (CO)","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",38.7,,
"MEX","Mexico","FUA","Functional Urban Area","MEX24F","Oaxaca de Juarez","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",58,,
"SVK","Slovak Republic","FUA","Functional Urban Area","SK003F","Banská Bystrica","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",222,,
"ROU","Romania","FUA","Functional Urban Area","RO019F","Slatina","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",37.1,,
"USA","United States","FUA","Functional Urban Area","USA132F","Lancaster (NE)","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",347,,
"MEX","Mexico","FUA","Functional Urban Area","MEX67F","Fresnillo","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",18.6,,
"USA","United States","FUA","Functional Urban Area","USA148F","Durham","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",322,,
"POL","Poland","FUA","Functional Urban Area","PL011F","Białystok","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",46.2,,
"MEX","Mexico","FUA","Functional Urban Area","MEX06F","Tijuana","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",41,,
"USA","United States","FUA","Functional Urban Area","USA59F","El Paso (TX)","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",63,,
"DNK","Denmark","FUA","Functional Urban Area","DK003F","Odense","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",276,,
"DEU","Germany","FUA","Functional Urban Area","DE087F","Krefeld","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",49.2,,
"MEX","Mexico","FUA","Functional Urban Area","MEX84F","Tuxpan","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",54.4,,
"FRA","France","FUA","Functional Urban Area","FR013F","Tours","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",142,,
"USA","United States","FUA","Functional Urban Area","USA53F","Providence","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",52.9,,
"JPN","Japan","FUA","Functional Urban Area","JPN02F","Osaka","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",48,,
"BGR","Bulgaria","FUA","Functional Urban Area","BG001F","Sofia","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",99,,
"DEU","Germany","FUA","Functional Urban Area","DE042F","Iserlohn","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",287,,
"MEX","Mexico","FUA","Functional Urban Area","MEX56F","Colima","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",47,,
"ITA","Italy","FUA","Functional Urban Area","IT057F","Bisceglie","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",31,,
"AUT","Austria","FUA","Functional Urban Area","AT004F","Salzburg","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",169,,
"COL","Colombia","FUA","Functional Urban Area","COL14F","Villavicencio","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",51.2,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK575F","Carlisle","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",126,,
"MEX","Mexico","FUA","Functional Urban Area","MEX51F","Minatitlan","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",30.9,,
"ITA","Italy","FUA","Functional Urban Area","IT033F","Bolzano","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",44.8,,
"USA","United States","FUA","Functional Urban Area","USA160F","Yakima","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",32.7,,
"ESP","Spain","FUA","Functional Urban Area","ES056F","Elda","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",141,,
"USA","United States","FUA","Functional Urban Area","USA93F","Forsyth","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",547,,
"CZE","Czech Republic","FUA","Functional Urban Area","CZ005F","Ustí nad Labem","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",61.1,,
"USA","United States","FUA","Functional Urban Area","USA131F","Luzerne","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",235,,
"CHE","Switzerland","FUA","Functional Urban Area","CH004F","Basel","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",140,,
"USA","United States","FUA","Functional Urban Area","USA87F","Greene","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",56.5,,
"COL","Colombia","FUA","Functional Urban Area","COL32F","Magangue","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",37.9,,
"DEU","Germany","FUA","Functional Urban Area","DE123F","Erlangen","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",219,,
"USA","United States","FUA","Functional Urban Area","USA110F","Mobile","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",62.3,,
"ITA","Italy","FUA","Functional Urban Area","IT070F","Ferrara","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",33.3,,
"DEU","Germany","FUA","Functional Urban Area","DE111F","Pforzheim","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",221,,
"MEX","Mexico","FUA","Functional Urban Area","MEX39F","Orizaba","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",111,,
"GRC","Greece","FUA","Functional Urban Area","EL006F","Volos","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",30.3,,
"ITA","Italy","FUA","Functional Urban Area","IT016F","Perugia","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",57.5,,
"COL","Colombia","FUA","Functional Urban Area","COL50F","Arauca","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",53.3,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK011F","Bristol","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",121,,
"MEX","Mexico","FUA","Functional Urban Area","MEX74F","Lazaro Cardenas","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",57,,
"JPN","Japan","FUA","Functional Urban Area","JPN46F","Fuji","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",106,,
"CHL","Chile","FUA","Functional Urban Area","CL026F","Punta Arenas","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",57,,
"ESP","Spain","FUA","Functional Urban Area","ES036F","Palencia","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",70,,
"NLD","Netherlands","FUA","Functional Urban Area","NL015F","Enschede","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",189,,
"FRA","France","FUA","Functional Urban Area","FR001F","Paris","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",75,,
"CAN","Canada","FUA","Functional Urban Area","CAN25F","Peterborough","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",212,,
"COL","Colombia","FUA","Functional Urban Area","COL13F","Armenia","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",56.7,,
"BGR","Bulgaria","FUA","Functional Urban Area","BG008F","Stara Zagora","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",145,,
"USA","United States","FUA","Functional Urban Area","USA176F","Broome","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",46.8,,
"COL","Colombia","FUA","Functional Urban Area","COL02F","Medellin","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",35,,
"USA","United States","FUA","Functional Urban Area","USA75F","Sedgwick","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",415,,
"ROU","Romania","FUA","Functional Urban Area","RO003F","Timişoara","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",41.1,,
"ITA","Italy","FUA","Functional Urban Area","IT056F","Battipaglia","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",80,,
"ESP","Spain","FUA","Functional Urban Area","ES080F","Marbella","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",50.2,,
"ROU","Romania","FUA","Functional Urban Area","RO009F","Sibiu","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",57,,
"ESP","Spain","FUA","Functional Urban Area","ES069F","Castellón de la Plana/Castelló de la Plana","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",43.7,,
"HUN","Hungary","FUA","Functional Urban Area","HU019F","Sopron","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",45,,
"HUN","Hungary","FUA","Functional Urban Area","HU001F","Budapest","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",47.1,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK546F","Colchester","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",54.5,,
"ESP","Spain","FUA","Functional Urban Area","ES057F","Santa Lucía de Tirajana","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",79,,
"USA","United States","FUA","Functional Urban Area","USA92F","Sonoma","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",186,,
"USA","United States","FUA","Functional Urban Area","USA191F","Sutter","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",35.4,,
"USA","United States","FUA","Functional Urban Area","USA166F","Shawnee","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",530,,
"FRA","France","FUA","Functional Urban Area","FR063F","Montbéliard","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",43.3,,
"USA","United States","FUA","Functional Urban Area","USA15F","Minneapolis","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",63.9,,
"MEX","Mexico","FUA","Functional Urban Area","MEX17F","Morelia","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",21.2,,
"POL","Poland","FUA","Functional Urban Area","PL062F","Wałbrzych","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",70.3,,
"MEX","Mexico","FUA","Functional Urban Area","MEX68F","San Cristobal de las Casas","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",33.6,,
"FIN","Finland","FUA","Functional Urban Area","FI004F","Oulu/Uleåborg","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",52.9,,
"CHL","Chile","FUA","Functional Urban Area","CL008F","Calera","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",53,,
