"LOCATION","Country","TL","Territory level","GEO","Geography","VAR","Variable","TIME","Time","Value","Flag Codes","Flags"
"KOR","Korea","FUA","Functional Urban Area","KOR14F","Jeju","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",24.2,,
"PRT","Portugal","FUA","Functional Urban Area","PT005F","Coimbra","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",158,,
"DEU","Germany","FUA","Functional Urban Area","DE056F","Bayreuth","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",175,,
"ESP","Spain","FUA","Functional Urban Area","ES059F","Granada","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",34.8,,
"USA","United States","FUA","Functional Urban Area","USA151F","Santa Cruz","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",33,,
"NLD","Netherlands","FUA","Functional Urban Area","NL012F","Deventer","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",47.5,,
"COL","Colombia","FUA","Functional Urban Area","COL31F","Maicao","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",45,,
"JPN","Japan","FUA","Functional Urban Area","JPN57F","Ashikaga","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",90,,
"POL","Poland","FUA","Functional Urban Area","PL012F","Kielce","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",164,,
"DNK","Denmark","FUA","Functional Urban Area","DK004F","Aalborg","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",47.9,,
"USA","United States","FUA","Functional Urban Area","USA86F","Stanislaus","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",110,,
